win_idx,t_start,t_end,t_center,n_frames,lag_sec,lag_frames
0,1.0,9.0,5.0,236,0.64394819687557,18.999999999999996
1,2.0,10.0,6.0,236,0.64394819687557,18.999999999999996
2,3.0,11.0,7.0,236,0.64394819687557,18.999999999999996
3,4.0,12.0,8.0,236,0.64394819687557,18.999999999999996
4,5.0,13.0,9.0,236,-0.10167603108561632,-2.9999999999999996
5,6.0,14.0,10.0,236,-0.06778402072374422,-2.0
6,7.0,15.0,11.0,236,-0.5761641761518259,-17.0
7,8.0,16.0,12.0,236,-0.5761641761518258,-16.999999999999996
8,9.0,17.0,13.0,236,-0.3728121139805931,-11.0
9,10.0,18.0,14.0,236,-1.0845443315799075,-32.0
10,11.0,19.0,15.0,236,-0.4067041243424653,-11.999999999999998
11,12.0,20.0,16.0,236,1.864060569902966,55.0
12,13.0,21.0,17.0,236,0.9489762901324192,28.0
13,14.0,22.0,18.0,236,0.2711360828949768,8.0
14,15.0,23.0,19.0,236,0.5083801554280817,15.0
15,16.0,24.0,20.0,236,0.305028093256849,9.0
16,17.0,25.0,21.0,236,0.10167603108561632,2.9999999999999996
17,18.0,26.0,22.0,236,-0.10167603108561632,-2.9999999999999996
18,19.0,27.0,23.0,236,0.13556804144748844,4.0
19,20.0,28.0,24.0,236,-0.305028093256849,-9.0
20,21.0,29.0,25.0,236,-0.06778402072374422,-2.0
21,22.0,30.0,26.0,236,-0.06778402072374422,-2.0
22,23.0,31.0,27.0,236,-0.03389201036187211,-1.0
23,24.0,32.0,28.0,236,-0.03389201036187211,-1.0
24,25.0,33.0,29.0,236,-0.03389201036187211,-1.0
25,26.0,34.0,30.0,236,-0.03389201036187211,-1.0
26,27.0,35.0,31.0,236,-0.033892010361872095,-1.0
27,28.0,36.0,32.0,236,-0.03389201036187211,-1.0
28,29.0,37.0,33.0,236,-0.03389201036187212,-1.0
29,30.0,38.0,34.0,236,-0.03389201036187212,-1.0
30,31.0,39.0,35.0,236,0.0,0.0
31,32.0,40.0,36.0,236,-0.23724407253310487,-7.0
32,33.0,41.0,37.0,236,0.0,0.0
33,34.0,42.0,38.0,236,0.0,0.0
34,35.0,43.0,39.0,236,0.0,0.0
35,36.0,44.0,40.0,236,-0.8811922694086745,-26.0
36,37.0,45.0,41.0,236,-1.7962765491792225,-53.0
37,38.0,46.0,42.0,236,0.4405961347043376,13.0
38,39.0,47.0,43.0,236,1.3556804144748837,40.0
39,40.0,48.0,44.0,236,1.3556804144748849,40.0
40,41.0,49.0,45.0,236,1.5590324766461163,46.0
41,42.0,50.0,46.0,236,1.084544331579907,32.0
42,43.0,51.0,47.0,236,0.37281211398059333,11.0
43,44.0,52.0,48.0,236,1.084544331579908,32.0
44,45.0,53.0,49.0,236,0.4067041243424655,12.0
45,46.0,54.0,50.0,236,-0.3050280932568491,-9.0
46,47.0,55.0,51.0,236,-0.27113608289497676,-8.0
47,48.0,56.0,52.0,236,-0.27113608289497676,-8.0
48,49.0,57.0,53.0,236,-0.03389201036187212,-1.0
49,50.0,58.0,54.0,236,-0.03389201036187212,-1.0
50,51.0,59.0,55.0,236,-0.271136082894977,-8.0
51,52.0,60.0,56.0,236,-0.271136082894977,-8.0
52,53.0,61.0,57.0,236,-0.27113608289497676,-8.0
53,54.0,62.0,58.0,236,-0.27113608289497676,-8.0
54,55.0,63.0,59.0,236,-0.5083801554280815,-15.000000000000002
55,56.0,64.0,60.0,236,0.23724407253310467,7.0
56,57.0,65.0,61.0,236,-0.7795162383230588,-23.0
57,58.0,66.0,62.0,236,-1.796276549179221,-53.0
58,59.0,67.0,63.0,236,-1.4912484559223749,-44.0
