win_idx,t_start,t_end,t_center,n_frames,lag_sec,lag_frames
0,1.0,9.0,5.0,235,0.10213810113081517,3.0
1,2.0,10.0,6.0,235,0.13618413484108693,4.0
2,3.0,11.0,7.0,235,0.13618413484108688,4.0
3,4.0,12.0,8.0,235,0.1361841348410869,4.0
4,5.0,13.0,9.0,235,0.17023016855135867,5.0
5,6.0,14.0,10.0,235,0.17023016855135858,4.999999999999999
6,7.0,15.0,11.0,235,0.20427620226163035,6.0
7,8.0,16.0,12.0,235,-0.646874640495163,-19.0
8,9.0,17.0,13.0,235,-0.646874640495163,-19.0
9,10.0,18.0,14.0,235,-0.646874640495163,-19.0
10,11.0,19.0,15.0,235,0.23832223597190205,7.0
11,12.0,20.0,16.0,235,-0.646874640495163,-19.0
12,13.0,21.0,17.0,235,0.27236826968217387,8.0
13,14.0,22.0,18.0,235,0.27236826968217376,8.0
14,15.0,23.0,19.0,235,0.27236826968217387,8.0
15,16.0,24.0,20.0,235,0.27236826968217387,8.0
16,17.0,25.0,21.0,235,0.23832223597190214,7.0
17,18.0,26.0,22.0,235,0.23832223597190214,7.0
18,19.0,27.0,23.0,235,0.23832223597190214,7.0
19,20.0,28.0,24.0,235,0.2042762022616304,6.0
20,21.0,29.0,25.0,235,0.2042762022616303,6.0
21,22.0,30.0,26.0,235,0.2042762022616304,6.0
22,23.0,31.0,27.0,235,0.17023016855135867,5.0
23,24.0,32.0,28.0,235,0.17023016855135856,5.0
24,25.0,33.0,29.0,235,0.17023016855135867,5.0
25,26.0,34.0,30.0,235,0.17023016855135875,5.000000000000001
26,27.0,35.0,31.0,235,0.17023016855135867,5.0
27,28.0,36.0,32.0,235,0.17023016855135856,5.0
28,29.0,37.0,33.0,235,0.13618413484108693,4.0
29,30.0,38.0,34.0,235,0.13618413484108685,4.0
30,31.0,39.0,35.0,235,0.13618413484108693,4.0
31,32.0,40.0,36.0,235,0.136184134841087,4.0
32,33.0,41.0,37.0,235,0.136184134841087,4.0
33,34.0,42.0,38.0,235,0.10213810113081515,3.0
34,35.0,43.0,39.0,234,0.10213810113081517,3.0
35,36.0,44.0,40.0,235,0.10213810113081515,3.0
36,37.0,45.0,41.0,235,0.10213810113081515,3.0
37,38.0,46.0,42.0,235,0.10213810113081515,3.0
38,39.0,47.0,43.0,235,0.10213810113081524,3.0
39,40.0,48.0,44.0,235,0.10213810113081515,3.0
40,41.0,49.0,45.0,235,0.06809206742054343,2.0
41,42.0,50.0,46.0,235,0.06809206742054343,2.0
42,43.0,51.0,47.0,235,0.03404603371027171,1.0
43,44.0,52.0,48.0,235,0.03404603371027171,1.0
44,45.0,53.0,49.0,235,0.0,0.0
45,46.0,54.0,50.0,235,0.0,0.0
46,47.0,55.0,51.0,235,0.0,0.0
47,48.0,56.0,52.0,235,-0.03404603371027171,-1.0
48,49.0,57.0,53.0,235,-0.03404603371027171,-1.0
49,50.0,58.0,54.0,235,-0.06809206742054343,-2.0
50,51.0,59.0,55.0,235,-0.0680920674205435,-2.0
51,52.0,60.0,56.0,235,-0.10213810113081524,-3.0
52,53.0,61.0,57.0,235,-0.10213810113081515,-3.0
53,54.0,62.0,58.0,235,-0.44259843823353273,-13.000000000000002
54,55.0,63.0,59.0,235,-0.10213810113081515,-3.0
55,56.0,64.0,60.0,235,-0.10213810113081515,-3.0
56,57.0,65.0,61.0,235,-0.4425984382335323,-13.0
57,58.0,66.0,62.0,235,-0.0680920674205435,-2.0
