win_idx,t_start,t_end,t_center,n_frames,lag_sec,lag_frames
0,1.0,9.0,5.0,185,-0.43090853488038694,-10.0
1,2.0,10.0,6.0,186,0.2585451209282321,5.999999999999999
2,3.0,11.0,7.0,186,-0.43090853488038694,-10.0
3,4.0,12.0,8.0,186,-0.38781768139234823,-9.0
4,5.0,13.0,9.0,185,-0.38781768139234823,-9.0
5,6.0,14.0,10.0,185,0.3016359744162708,7.0
6,7.0,15.0,11.0,186,0.3016359744162708,7.0
7,8.0,16.0,12.0,186,0.30163597441627077,6.999999999999999
8,9.0,17.0,13.0,186,0.3447268279043095,8.0
9,10.0,18.0,14.0,185,0.34472682790430953,8.0
10,11.0,19.0,15.0,185,0.3878176813923482,9.0
11,12.0,20.0,16.0,186,0.38781768139234823,9.0
12,13.0,21.0,17.0,186,0.3878176813923482,9.0
13,14.0,22.0,18.0,186,0.38781768139234823,9.0
14,15.0,23.0,19.0,185,0.38781768139234835,9.0
15,16.0,24.0,20.0,185,-0.2585451209282321,-6.0
16,17.0,25.0,21.0,186,-0.25854512092823223,-6.0
17,18.0,26.0,22.0,186,-0.2585451209282321,-6.0
18,19.0,27.0,23.0,186,0.43090853488038705,10.0
19,20.0,28.0,24.0,185,0.43090853488038683,10.0
20,21.0,29.0,25.0,185,0.43090853488038705,10.0
21,22.0,30.0,26.0,186,0.3878176813923482,9.0
22,23.0,31.0,27.0,186,1.4219981651052767,33.0
23,24.0,32.0,28.0,186,0.08618170697607737,2.0
24,25.0,33.0,29.0,185,0.12927256046411612,3.0
25,26.0,34.0,30.0,186,0.9910896302248897,23.0
26,27.0,35.0,31.0,186,0.3447268279043095,8.0
27,28.0,36.0,32.0,186,0.34472682790430964,8.0
28,29.0,37.0,33.0,186,0.34472682790430964,8.0
29,30.0,38.0,34.0,185,0.17236341395215474,4.0
30,31.0,39.0,35.0,186,0.17236341395215474,4.0
31,32.0,40.0,36.0,186,0.21545426744019341,5.0
32,33.0,41.0,37.0,186,-0.43090853488038683,-10.0
33,34.0,42.0,38.0,185,0.21545426744019341,5.0
34,35.0,43.0,39.0,185,0.21545426744019341,5.0
35,36.0,44.0,40.0,186,0.21545426744019341,5.0
36,37.0,45.0,41.0,186,0.2585451209282321,6.0
37,38.0,46.0,42.0,186,0.21545426744019358,5.0
38,39.0,47.0,43.0,185,1.1634530441770445,27.0
39,40.0,48.0,44.0,185,1.5943615790574313,37.0
40,41.0,49.0,45.0,186,0.9049079232488124,21.0
41,42.0,50.0,46.0,186,0.25854512092823234,6.000000000000001
42,43.0,51.0,47.0,186,0.47399938836842553,11.0
43,44.0,52.0,48.0,185,0.47399938836842553,11.0
44,45.0,53.0,49.0,185,0.2585451209282321,6.0
45,46.0,54.0,50.0,186,0.30163597441627077,6.999999999999999
46,47.0,55.0,51.0,186,0.30163597441627105,7.000000000000001
47,48.0,56.0,52.0,186,0.30163597441627077,6.999999999999999
48,49.0,57.0,53.0,185,0.30163597441627077,6.999999999999999
49,50.0,58.0,54.0,185,1.2496347511531218,29.0
50,51.0,59.0,55.0,186,0.34472682790430975,8.0
51,52.0,60.0,56.0,186,-0.7325445092966576,-17.0
52,53.0,61.0,57.0,186,-1.378907311617238,-32.0
