B,G,R
138,145,182
160,165,208
64,61,114
163,168,205
170,169,209
150,153,188
145,156,188
138,146,172
57,57,67
133,141,182
162,171,209
124,134,155
117,128,145
154,166,202
124,136,165
139,144,179
110,125,145
135,142,166
135,142,172
151,162,194
110,114,147
132,135,170
120,132,153
138,150,179
128,135,172
40,33,34
116,131,156
108,115,137
167,173,212
144,149,191
110,123,148
115,126,158
108,113,135
139,147,173
137,142,179
136,141,163
116,122,148
89,90,130
150,153,195
124,132,165
142,143,183
143,149,188
95,99,138
62,65,86
123,132,156
147,157,185
132,136,182
140,145,174
72,84,118
90,90,91
160,169,206
140,146,179
144,152,180
142,144,175
161,171,205
129,134,163
111,120,157
86,95,119
110,102,164
154,166,202
132,137,174
108,117,154
121,128,158
159,171,207
111,125,148
116,126,154
85,86,128
45,55,83
124,130,156
108,116,142
107,119,134
127,134,151
120,127,143
145,153,187
156,168,204
122,131,148
120,125,162
145,150,172
145,151,184
111,115,154
121,133,162
164,161,208
126,133,176
120,124,157
143,149,188
153,158,193
115,124,154
153,162,200
167,175,209
125,127,171
90,79,170
104,109,146
145,151,190
124,133,170
44,47,61
68,65,74
134,142,170
92,112,143
152,160,193
105,115,156
126,134,160
151,163,197
116,124,158
116,128,156
122,133,158
160,168,209
128,138,172
131,138,175
122,134,162
147,158,190
130,134,167
122,134,170
137,143,182
80,88,116
153,164,196
66,70,82
161,170,208
93,94,136
132,133,173
96,97,152
129,129,180
87,93,105
124,137,162
132,140,174
130,136,175
140,145,182
151,156,193
105,113,154
118,116,165
111,122,147
144,153,183
118,119,153
115,120,123
122,129,151
125,131,164
92,82,162
51,52,60
118,120,164
123,135,163
127,122,180
95,97,107
137,142,177
98,102,120
121,131,152
136,144,177
121,123,169
114,128,143
137,146,176
121,132,151
122,134,162
123,131,151
103,107,125
139,150,182
152,164,200
149,157,191
151,159,187
106,105,152
164,173,210
134,143,167
134,138,169
108,117,154
98,110,139
124,135,159
143,149,182
159,157,206
81,88,110
150,159,189
67,73,93
62,64,76
149,161,197
128,134,173
119,126,156
49,50,64
153,162,199
151,160,197
124,130,156
117,132,157
157,158,193
109,121,149
105,121,152
98,105,142
79,71,153
101,112,137
149,157,185
121,129,155
90,96,109
118,129,153
94,89,134
125,133,161
140,147,171
47,47,72
113,123,144
104,115,134
102,112,161
64,67,68
117,121,160
145,149,188
114,108,157
127,135,168
115,130,150
151,162,200
132,134,178
119,125,151
165,166,208
59,57,63
110,117,147
126,132,171
151,160,197
122,121,168
107,114,151
138,143,172
79,91,120
151,163,199
51,61,89
118,120,158
129,126,173
143,149,182
132,142,170
151,160,197
126,130,148
134,144,172
101,87,166
111,123,151
120,131,150
