B,G,R
166,158,199
138,132,160
63,60,69
166,163,202
143,135,159
135,129,157
178,163,209
77,73,101
161,155,196
168,154,190
46,39,41
112,108,138
169,161,196
115,102,127
143,133,164
113,108,140
135,128,159
142,136,164
163,154,182
172,160,197
178,168,209
137,124,149
134,134,165
121,118,150
157,146,179
159,147,183
144,138,166
153,150,184
134,119,157
186,171,216
169,160,197
108,99,127
60,61,75
133,127,155
163,151,188
170,165,204
172,161,194
169,157,193
88,82,101
164,160,196
102,93,120
167,157,198
112,110,140
110,105,131
149,124,187
172,158,200
116,112,140
156,143,176
161,148,181
166,153,193
179,172,211
169,157,188
161,158,192
132,119,139
61,60,79
114,101,126
97,93,116
165,159,187
141,131,162
173,157,199
142,133,161
92,84,108
163,154,191
184,174,214
168,154,196
151,141,187
80,77,117
175,160,198
171,167,190
165,150,188
173,157,199
164,152,188
169,156,196
119,111,152
151,141,172
103,90,117
159,147,178
171,164,196
111,100,120
148,138,169
147,140,171
112,101,134
176,169,208
177,162,202
103,99,121
172,162,203
144,136,160
141,131,162
170,155,201
149,145,175
173,165,206
176,162,204
141,131,155
148,136,165
126,116,156
145,136,173
164,154,194
172,163,200
173,161,190
125,115,146
164,155,192
164,158,186
154,148,183
173,158,198
150,140,171
166,154,183
149,139,170
94,88,107
167,155,191
159,149,180
119,114,146
161,153,177
147,140,171
125,139,149
177,163,205
170,157,197
141,135,163
157,145,174
168,160,195
128,134,146
165,150,182
145,133,179
169,156,196
175,165,206
161,160,187
171,161,202
185,178,210
130,122,140
143,140,149
179,165,207
133,133,164
146,134,170
168,154,196
162,147,187
57,49,73
174,161,201
170,156,192
97,93,91
113,99,141
159,147,183
172,165,196
193,183,224
126,117,145
157,150,187
137,145,158
171,163,198
173,167,210
49,37,47
176,167,204
106,99,144
55,52,62
116,107,134
153,148,180
152,149,181
169,166,206
152,149,183
179,169,210
134,127,158
182,172,213
79,74,100
177,171,214
143,142,169
158,151,190
190,174,216
150,139,172
178,173,212
109,104,130
163,155,190
129,119,159
144,138,166
150,146,169
152,144,185
163,149,185
110,105,137
155,143,174
150,137,177
158,155,194
153,144,172
107,100,122
136,127,155
167,154,194
150,145,177
162,150,186
169,157,193
139,132,154
171,162,199
179,169,209
123,111,142
150,141,168
151,144,183
185,170,216
162,150,179
154,148,189
145,133,162
144,125,193
162,153,180
153,146,178
151,136,181
173,166,205
155,146,183
151,141,172
158,154,190
139,133,161
42,36,54
86,82,88
138,131,162
171,167,203
38,37,41
149,140,167
165,153,184
38,35,37
130,113,158
78,74,96
128,101,162
175,168,207
180,170,201
149,138,171
95,89,108
164,161,195
136,129,160
108,100,124
186,177,214
126,122,150
156,146,177
163,153,193
120,111,139
174,162,199
81,72,92
138,132,160
169,160,204
114,114,139
157,151,192
137,128,156
148,124,191
173,160,193
175,162,202
152,141,174
152,142,173
154,146,170
96,103,127
142,132,173
167,160,191
146,136,176
181,171,212
172,160,196
49,46,48
154,151,191
178,168,208
185,171,213
141,137,160
176,166,206
44,36,34
166,152,194
161,151,182
163,153,193
164,151,191
142,137,163
134,132,162
154,147,186
152,153,188
175,162,202
172,166,207
109,97,120
167,160,197
138,131,163
188,173,218
157,149,184
84,69,81
177,170,209
118,110,145
68,62,75
53,44,45
130,136,148
183,169,211
86,86,87
171,159,195
178,168,209
151,142,186
137,128,165
141,138,147
143,132,159
151,146,178
54,53,74
117,109,133
188,172,214
166,158,199
191,178,218
153,141,172
141,138,170
80,68,71
72,67,99
165,154,198
173,167,210
154,142,178
166,151,189
146,137,181
173,158,198
157,142,180
180,171,208
165,153,190
99,95,123
127,135,148
153,147,175
196,184,215
150,144,172
163,154,181
171,162,189
165,159,200
168,158,199
201,185,219
144,142,172
173,158,198
177,172,211
175,159,208
172,160,206
106,99,130
115,124,141
178,168,209
180,170,210
186,178,219
176,169,208
167,153,182
157,149,190
121,114,146
99,114,134
135,130,156
164,152,188
174,159,199
164,149,189
168,156,193
41,33,38
171,161,202
105,114,138
151,149,179
159,156,188
192,178,220
169,155,191
155,151,164
175,168,207
170,156,198
172,162,193
175,165,206
150,144,179
156,146,192
124,130,142
159,154,193
151,147,177
143,138,170
177,171,212
161,151,182
137,137,167
182,173,217
142,136,171
169,163,204
163,151,180
146,121,177
174,159,205
163,149,185
165,152,192
122,130,143
144,136,177
130,125,157
163,153,184
120,120,121
164,154,194
149,121,186
174,168,209
126,119,150
156,151,190
156,142,184
146,124,191
143,141,171
136,138,169
150,140,171
164,157,189
177,169,210
175,165,205
89,84,99
172,160,197
160,156,192
159,147,183
106,87,83
143,120,183
184,168,210
132,125,156
141,120,184
181,171,202
39,39,39
162,150,186
185,175,215
183,170,210
186,171,216
58,39,42
162,148,177
138,137,164
122,115,146
174,160,202
177,173,216
165,153,182
163,151,188
172,168,204
156,151,190
75,75,76
173,157,199
182,172,212
72,61,60
171,161,202
138,132,167
174,166,207
41,38,47
175,165,205
142,130,159
113,107,112
163,151,187
142,133,160
165,155,196
135,129,157
42,39,41
167,154,194
131,124,155
149,138,171
143,139,169
140,136,158
135,123,160
168,151,202
171,159,195
180,170,210
167,164,198
48,42,55
135,122,142
175,169,204
129,136,152
146,135,185
134,125,153
88,88,89
138,132,150
94,87,102
138,131,162
93,89,117
96,101,117
39,32,33
49,43,48
172,168,204
116,109,154
159,150,187
99,97,127
171,159,188
136,132,162
166,154,190
117,112,138
127,124,164
156,150,178
117,94,150
146,140,175
130,124,152
183,167,216
178,168,209
137,130,161
85,74,75
186,178,219
181,171,211
101,112,131
166,161,200
166,156,196
175,162,202
163,148,188
117,93,160
184,176,217
115,111,133
173,169,199
170,163,200
155,145,191
145,140,172
149,140,177
116,107,135
173,166,205
95,96,123
141,137,167
168,165,191
174,167,212
84,78,97
132,116,137
152,141,174
139,133,161
172,158,194
141,127,156
177,159,206
112,94,148
192,173,218
178,168,208
145,124,197
184,169,215
44,36,33
168,160,201
105,109,135
164,154,194
137,134,166
183,168,214
167,153,182
188,173,218
141,142,156
194,178,220
168,152,194
151,139,170
107,96,116
175,165,206
154,147,184
104,79,142
135,126,154
176,161,206
104,103,150
63,66,88
176,167,194
157,145,181
163,153,193
149,146,180
152,149,189
58,53,62
193,181,217
61,57,85
171,161,201
176,163,196
167,151,193
173,158,203
144,140,168
154,148,191
131,113,141
121,111,135
122,113,140
141,131,162
168,154,183
176,162,204
182,167,213
159,154,193
158,146,177
181,168,208
167,157,198
109,103,144
157,150,181
169,157,193
172,165,204
162,159,193
79,87,107
150,144,179
168,158,204
171,163,204
156,150,191
171,158,207
169,155,184
68,59,81
160,148,184
163,149,191
100,86,88
164,152,183
177,169,210
121,114,123
157,158,193
150,145,154
145,135,166
170,158,195
175,163,200
148,138,169
155,142,182
163,151,187
123,132,143
128,138,153
174,167,199
150,148,178
159,154,193
150,143,174
146,138,173
156,154,177
176,166,207
129,123,151
129,137,157
95,110,130
178,163,208
63,53,64
167,159,200
142,117,173
198,184,220
184,168,217
50,43,44
173,163,204
164,153,180
81,70,71
142,132,163
139,129,160
170,156,198
69,69,69
172,165,204
170,163,200
105,101,123
169,157,186
127,121,156
138,132,160
41,37,37
128,119,147
148,138,178
144,124,195
182,167,213
140,138,168
140,131,159
145,135,176
101,82,99
120,113,150
131,122,150
131,129,159
39,33,46
169,154,194
141,134,165
149,139,163
128,121,130
103,107,125
117,91,163
128,109,139
107,106,140
104,81,150
152,142,182
151,140,173
172,157,189
152,139,196
164,158,193
127,139,154
123,112,139
61,49,46
147,135,172
43,37,50
179,163,205
176,164,201
149,146,178
177,164,204
88,81,82
141,136,162
166,159,198
135,129,157
162,152,193
174,164,195
179,162,194
153,141,177
149,138,171
169,157,194
158,153,185
125,119,137
170,157,190
144,138,173
178,171,210
95,93,123
46,40,51
145,135,166
169,158,202
161,151,192
93,86,117
134,138,150
180,171,208
174,166,207
166,152,188
168,160,195
176,170,211
125,116,143
59,56,65
163,159,195
157,148,176
137,128,172
168,153,198
121,114,153
130,122,157
155,149,184
159,150,178
166,154,190
117,122,138
157,145,181
82,78,106
170,158,195
80,78,95
163,153,193
177,167,207
184,170,212
172,157,202
110,103,105
157,145,181
165,153,189
145,138,153
172,160,206
172,163,191
163,156,193
79,75,88
141,129,165
162,155,194
133,124,152
157,150,189
170,155,187
161,156,182
160,151,195
135,125,156
44,39,41
176,164,200
145,138,169
183,173,214
144,134,180
76,79,93
144,138,166
160,150,181
152,140,176
198,185,218
138,127,160
68,57,63
152,147,186
162,156,184
66,64,64
130,119,152
136,136,167
147,140,171
175,162,202
165,162,196
95,95,96
180,172,207
151,136,182
157,150,182
117,107,138
107,103,133
182,167,213
174,159,197
174,157,195
178,164,206
146,137,174
144,142,172
119,100,98
174,162,198
165,152,192
117,111,152
147,143,173
109,103,108
47,43,49
134,122,151
173,165,206
146,141,180
158,155,187
151,143,178
174,168,209
187,176,209
177,169,210
163,149,185
132,139,155
171,158,191
145,139,174
176,166,207
142,138,166
121,129,142
174,168,209
168,155,195
120,114,142
172,157,189
171,156,201
101,89,135
149,142,179
97,86,87
177,164,204
124,111,136
171,158,207
41,34,41
150,146,176
173,160,193
168,153,198
175,161,203
146,134,163
172,157,195
180,170,210
118,112,130
123,117,145
169,159,200
161,149,185
156,145,178
143,135,170
142,144,154
129,101,165
151,138,193
149,144,183
170,157,197
97,81,140
139,130,158
163,149,185
97,82,137
177,169,210
139,132,163
164,161,195
163,150,190
137,136,163
168,154,190
138,126,162
47,39,36
156,146,187
75,68,69
154,142,173
140,133,164
130,123,154
112,110,140
125,116,144
176,166,206
154,148,183
144,140,168
145,135,166
146,134,170
147,137,168
115,113,143
142,130,166
133,129,159
91,87,117
134,128,156
178,166,202
168,153,199
167,160,197
146,145,179
167,159,200
157,143,179
144,137,168
147,137,168
188,175,215
164,150,179
107,97,121
83,81,87
151,144,183
174,167,199
145,139,167
188,174,216
139,135,158
167,161,204
172,166,207
169,163,206
131,121,161
172,159,199
100,91,92
169,155,191
157,151,192
164,157,196
156,151,177
188,178,219
172,156,198
162,158,181
160,154,189
169,154,200
170,154,196
99,88,87
183,167,216
166,162,192
171,165,206
181,166,212
51,38,50
61,54,61
173,168,207
136,127,155
167,155,191
174,159,205
146,142,170
158,146,192
114,89,144
101,92,112
184,174,215
156,147,191
178,168,209
159,152,191
159,148,181
173,165,206
160,154,182
159,152,189
97,94,113
102,91,111
167,152,197
43,40,50
110,106,112
99,99,100
173,165,206
167,159,200
97,91,110
161,154,193
147,146,180
152,149,181
148,147,181
151,142,179
101,92,120
62,59,68
152,145,177
182,172,203
151,138,178
151,134,196
163,151,180
64,64,94
127,123,159
163,151,187
174,158,200
121,114,121
125,116,144
166,150,179
172,169,209
131,122,150
159,154,193
158,151,183
150,143,175
131,125,153
141,131,162
174,159,205
159,155,178
163,156,195
48,40,38
132,125,157
151,135,184
128,140,155
167,155,192
161,149,185
156,152,182
129,123,151
173,168,207
135,128,159
113,113,138
154,149,181
166,159,198
144,140,170
132,135,164
48,43,45
178,164,206
143,136,175
132,123,151
115,109,128
139,127,163
149,142,179
75,74,88
140,133,170
103,91,101
68,57,56
168,156,192
108,101,132
138,135,167
126,118,153
76,72,72
129,120,148
164,154,195
186,176,216
158,155,181
155,143,179
155,144,171
141,135,163
172,164,205
148,140,151
96,102,114
155,145,185
158,154,190
121,121,151
142,136,171
173,168,207
82,75,90
111,114,130
168,156,192
130,133,162
183,170,210
162,150,187
148,135,168
149,141,176
155,144,177
173,165,206
72,66,94
115,109,128
172,160,197
162,158,194
129,125,155
181,166,212
132,122,146
188,174,216
167,161,202
177,163,205
63,48,47
95,97,122
182,174,209
85,90,106
169,154,194
154,150,180
167,160,199
107,103,126
134,125,147
160,147,187
94,88,106
171,161,202
91,91,114
159,151,186
156,147,175
170,164,199
172,157,203
166,154,191
169,158,191
119,131,146
193,180,220
138,134,162
85,76,77
166,153,193
174,168,209
181,171,212
52,35,39
173,165,206
130,128,134
164,157,188
167,158,202
