B,G,R
105,110,132
173,186,211
179,187,215
143,146,154
150,157,174
184,175,202
121,126,142
191,190,217
124,125,139
156,158,183
154,157,179
116,120,132
114,117,125
110,112,124
91,90,94
134,142,155
148,152,178
176,176,206
157,159,177
167,161,180
120,122,140
132,138,150
149,154,170
178,172,207
144,152,165
63,61,67
184,180,208
172,173,194
124,127,141
152,162,183
115,117,127
194,197,219
176,176,206
148,159,178
107,96,140
168,164,200
103,102,115
152,151,164
189,188,215
140,143,151
177,177,202
147,148,169
126,130,148
147,150,166
121,122,136
166,159,198
180,177,209
141,144,152
163,164,198
136,134,151
178,177,204
118,126,139
112,119,136
178,179,206
65,63,69
155,158,179
77,74,83
143,142,161
183,181,204
177,181,206
117,119,131
171,158,178
145,148,164
174,173,207
166,169,198
182,176,211
145,148,169
139,139,169
143,139,169
182,182,212
89,89,106
163,169,208
184,180,208
165,169,200
196,198,223
195,191,214
129,135,142
160,157,176
143,143,173
135,135,152
162,166,184
149,151,169
174,170,192
203,195,219
142,144,154
165,168,190
141,141,158
173,176,198
84,86,111
142,151,168
170,178,204
142,126,168
190,193,215
134,144,159
182,192,220
148,147,166
154,164,185
141,144,166
86,90,108
179,179,196
137,140,156
118,119,127
178,177,204
95,99,117
149,154,176
153,168,188
67,64,73
154,154,177
139,143,161
182,177,216
166,159,198
181,182,203
163,163,193
134,129,144
158,157,178
193,196,217
105,108,116
184,183,217
180,179,213
176,181,210
145,148,156
138,125,144
143,142,163
89,87,93
166,166,197
147,151,182
174,170,193
126,125,138
179,179,210
131,135,147
116,119,140
155,162,186
178,181,202
163,171,197
127,132,141
123,125,130
174,184,212
191,191,216
173,173,203
144,143,156
139,142,156
135,141,153
139,139,156
151,160,177
192,191,218
121,123,135
188,189,216
128,129,150
153,152,165
177,175,205
155,153,183
144,143,162
141,141,164
140,139,153
193,196,218
148,148,165
182,178,201
133,142,153
174,174,197
156,158,168
179,177,200
74,76,86
139,139,169
162,173,198
136,135,148
177,176,195
82,80,97
138,138,168
165,168,197
156,159,188
77,82,78
142,149,165
107,88,139
170,174,205
140,144,162
147,156,173
162,165,187
171,174,195
171,182,207
104,106,116
158,158,181
127,128,142
187,184,218
145,144,158
161,160,179
157,158,179
145,149,174
82,83,91
185,183,206
190,189,216
151,158,180
134,142,142
