B,G,R
131,139,173
101,110,140
135,140,182
118,127,165
135,133,177
132,137,174
121,123,161
94,93,114
136,140,179
138,142,181
140,142,186
150,155,198
147,145,196
112,113,140
106,105,132
42,42,52
127,133,179
125,133,166
140,142,186
96,100,125
74,59,127
102,110,138
132,133,173
179,179,217
80,87,117
139,148,191
108,112,145
155,156,190
127,132,161
135,140,183
135,132,164
115,117,155
136,141,184
136,141,184
121,124,159
124,129,158
88,93,136
44,45,53
142,143,183
145,151,190
116,115,149
146,148,199
153,150,197
145,146,194
141,145,191
121,98,161
134,143,181
120,121,155
101,109,150
132,135,170
135,139,185
164,166,212
170,169,216
129,132,174
163,161,210
95,101,140
146,146,177
110,81,155
122,128,161
130,133,162
103,106,141
127,133,166
153,155,199
109,110,145
92,96,127
133,139,172
76,82,115
156,162,209
88,93,115
158,164,211
145,151,190
167,166,206
80,77,116
141,142,190
123,127,160
103,105,136
136,136,166
145,147,185
174,170,213
126,129,164
49,48,62
148,154,193
147,147,198
145,147,178
100,106,152
143,145,191
70,82,118
139,143,182
153,149,205
44,42,48
137,141,180
94,64,149
147,150,185
68,72,103
134,135,175
156,161,198
131,138,168
111,114,149
101,103,134
141,143,187
101,105,136
133,140,183
150,155,190
45,48,70
83,92,130
125,130,167
136,138,182
136,139,168
133,131,174
94,98,129
124,132,166
142,148,194
89,89,120
119,118,145
169,164,209
158,155,195
115,121,147
129,136,173
161,161,199
160,164,203
53,48,57
143,147,193
131,132,167
111,115,148
172,170,214
129,138,175
177,179,217
144,142,178
109,113,152
85,60,145
151,152,186
160,161,209
81,77,83
157,159,211
75,82,106
132,143,181
138,142,188
134,139,181
128,130,168
91,92,132
145,146,194
99,97,127
47,48,56
145,146,194
118,122,148
47,50,64
105,104,108
147,149,200
147,121,180
94,98,131
130,133,162
123,126,161
146,147,181
113,115,153
117,113,143
167,172,215
142,151,189
130,135,170
155,125,195
110,111,145
135,142,185
164,165,200
138,143,186
155,163,204
118,116,146
156,158,209
120,124,157
95,101,106
134,132,155
150,154,200
119,124,159
151,152,200
173,171,215
84,87,116
150,154,193
136,145,190
163,164,212
162,162,200
162,163,198
115,114,141
179,178,218
138,142,181
104,108,147
117,113,141
120,93,161
154,154,205
165,162,201
146,151,194
140,102,176
111,89,165
133,141,182
131,140,183
165,165,209
140,150,191
149,150,190
156,159,207
107,110,145
122,125,160
169,171,215
121,90,164
55,59,85
163,165,216
163,165,209
167,172,214
152,152,203
139,145,184
126,130,161
113,83,174
116,123,153
96,99,141
136,145,183
155,155,206
141,141,185
148,152,198
150,148,192
113,112,139
139,136,176
116,122,155
134,137,172
138,147,185
170,167,207
157,151,186
60,59,73
163,165,211
153,159,206
124,98,163
132,138,171
128,137,175
105,108,143
142,152,193
128,137,175
147,155,196
96,64,147
148,142,160
169,171,215
145,146,173
149,141,146
138,147,185
144,145,193
127,136,179
161,161,212
137,142,185
156,161,198
93,96,131
90,94,127
127,92,163
136,141,184
86,94,120
128,128,158
119,127,160
140,138,189
137,143,189
131,137,170
98,102,135
155,161,207
53,59,92
170,172,216
146,143,177
114,114,152
134,123,156
144,145,193
103,110,140
161,157,206
136,139,174
160,160,211
96,99,134
145,148,196
153,158,200
49,48,52
59,59,82
149,151,202
138,138,182
47,53,73
134,140,179
147,149,180
132,135,164
129,131,175
32,35,43
141,142,184
171,165,206
93,98,135
125,129,162
103,111,139
131,138,175
120,100,171
73,68,83
127,133,166
160,164,210
140,146,192
127,133,172
167,169,213
139,142,184
129,130,170
150,153,201
82,82,107
130,138,172
165,165,203
165,158,203
154,159,202
155,155,206
113,118,153
78,79,100
103,107,146
145,146,188
103,75,160
138,148,189
161,159,203
142,149,186
99,100,134
111,110,137
139,143,182
139,137,181
104,106,144
79,86,103
173,170,217
110,109,143
134,141,184
116,118,149
143,146,175
115,114,141
151,153,199
138,142,188
151,152,200
130,137,174
138,137,164
177,179,217
157,159,211
155,149,184
140,146,192
165,167,213
58,64,77
74,52,129
111,114,149
159,160,208
126,130,161
141,146,189
142,147,190
134,140,186
99,103,108
124,128,167
132,141,179
103,111,145
137,139,185
144,147,195
141,147,193
50,54,72
95,65,142
110,112,150
47,46,60
146,147,195
143,150,193
147,151,184
83,92,129
130,137,174
71,76,105
122,115,167
131,136,171
104,112,146
151,152,192
146,144,187
137,139,183
145,150,192
116,125,162
156,154,203
122,126,157
105,112,149
90,94,120
139,140,180
136,143,180
120,120,151
129,132,167
142,149,192
130,135,170
151,147,177
103,107,138
154,155,190
100,70,153
133,133,171
73,82,119
133,138,175
85,61,143
150,143,158
131,137,170
54,56,74
147,150,198
150,156,202
172,175,217
151,155,194
110,113,142
84,87,116
139,144,187
164,163,210
117,124,154
110,80,163
154,157,205
143,147,193
140,137,184
117,119,157
156,159,207
133,139,178
162,163,211
152,158,197
138,144,190
146,146,197
149,151,195
41,42,50
132,137,174
74,48,126
141,144,173
142,146,192
110,114,139
121,84,168
152,155,203
128,127,154
142,139,173
93,78,148
151,158,201
151,156,191
151,157,204
151,152,200
107,79,157
143,141,185
95,102,132
148,146,190
99,108,146
97,102,139
135,129,148
77,85,119
154,156,207
120,124,157
151,153,191
151,154,196
93,96,117
115,119,152
145,151,197
48,47,60
93,94,129
180,181,221
164,163,210
48,51,65
122,125,154
136,141,183
164,161,195
123,129,168
142,144,195
160,160,191
140,146,185
132,134,178
115,117,148
153,158,195
164,162,211
67,69,94
155,157,209
144,145,193
176,173,213
108,106,136
127,135,169
87,92,134
126,130,163
132,135,164
75,80,115
144,148,194
131,136,173
127,127,150
48,51,65
136,134,164
169,168,215
84,86,117
137,141,187
142,144,188
163,162,209
157,152,184
119,129,170
98,98,136
143,147,180
109,112,147
82,86,112
141,147,186
160,158,209
138,139,174
158,156,200
125,133,174
132,138,171
151,152,192
103,101,124
107,117,158
112,113,147
146,151,194
92,95,124
153,154,194
44,47,63
145,154,199
128,133,170
161,165,211
144,149,192
103,104,138
153,158,201
164,164,208
150,152,196
159,159,210
130,133,168
118,122,155
44,42,59
168,167,214
179,179,217
133,138,180
106,104,147
121,120,147
143,147,193
102,106,139
145,142,189
144,149,192
147,145,194
100,91,118
118,115,147
142,146,192
120,132,174
146,153,196
141,140,187
138,145,188
172,172,216
94,88,101
165,168,216
163,161,210
120,120,158
142,148,195
134,139,182
138,145,188
156,157,205
125,128,157
127,132,174
161,161,212
138,141,170
123,124,158
74,47,128
126,127,167
168,168,212
135,92,175
125,129,168
150,157,207
116,119,140
58,64,84
128,132,178
85,89,115
148,150,201
139,142,190
150,152,196
52,55,77
128,132,171
173,168,207
99,102,131
143,146,194
137,130,162
145,145,196
98,104,151
111,118,155
153,155,199
164,165,207
161,157,206
111,101,155
170,165,210
105,88,139
154,158,204
130,137,180
126,127,154
84,89,118
115,119,152
112,116,149
141,142,184
110,112,150
156,161,204
145,147,191
155,159,190
145,154,192
140,146,192
38,35,39
142,144,188
74,80,113
150,148,192
150,156,189
145,143,192
178,177,217
147,152,195
145,147,198
110,114,147
127,131,162
165,167,213
110,104,123
116,116,141
135,139,165
167,172,215
139,145,184
58,61,77
82,89,132
122,126,159
126,134,175
100,103,132
139,145,184
139,142,184
62,56,61
167,169,213
130,135,172
109,111,149
129,130,164
102,104,135
154,159,209
112,114,145
129,136,173
144,145,187
148,153,196
116,117,144
152,158,197
158,156,200
119,121,152
145,146,194
112,109,135
144,148,187
151,155,188
143,150,193
141,147,193
80,85,114
149,155,201
141,139,183
149,152,200
74,69,84
124,130,163
96,98,129
138,143,186
154,156,194
147,148,188
126,128,166
147,140,147
115,117,148
127,132,174
169,164,209
141,139,183
130,136,175
101,112,150
129,133,172
150,154,185
109,106,132
146,151,201
161,166,209
161,164,199
131,96,174
165,164,211
102,109,146
126,125,165
122,96,168
128,129,156
127,133,172
150,156,208
160,160,198
145,143,192
64,61,87
159,160,200
147,152,194
100,73,155
110,117,154
144,148,187
145,150,200
166,164,208
158,157,204
141,146,175
111,115,148
161,161,199
113,116,151
128,131,173
155,159,205
83,86,128
118,94,159
132,137,179
67,71,97
161,163,207
164,165,213
134,139,182
118,119,153
149,151,182
42,48,61
138,144,191
104,108,147
116,117,152
93,62,143
166,165,205
124,130,163
68,68,91
151,156,193
142,104,178
130,131,165
152,153,187
127,133,166
124,126,157
154,151,204
151,155,188
130,135,178
36,41,50
150,153,195
140,141,189
119,125,158
98,104,130
167,167,205
133,142,180
163,157,205
157,162,212
132,133,167
140,142,186
56,64,84
139,141,185
112,116,155
123,125,156
130,134,160
128,135,178
149,148,203
89,96,133
157,158,206
134,136,180
146,150,196
151,154,196
122,123,158
125,127,165
149,156,199
150,156,195
138,143,186
132,140,174
143,149,196
144,149,178
127,128,168
146,146,190
161,165,211
74,81,118
129,133,164
124,129,158
131,139,180
159,156,196
141,147,194
131,135,168
121,126,161
105,104,131
103,111,145
146,152,191
45,48,69
43,46,75
56,60,85
125,125,155
128,134,181
125,131,164
168,165,204
152,150,199
120,119,146
94,95,129
151,151,202
146,138,149
86,92,125
150,147,200
142,142,186
131,135,174
52,53,74
163,163,201
140,150,191
113,119,158
82,82,112
134,136,180
134,145,183
172,166,207
41,42,50
152,150,201
137,131,136
113,110,136
128,136,177
126,130,169
124,130,163
156,147,174
119,121,146
146,151,193
139,143,182
137,135,179
107,113,139
44,46,51
139,137,181
101,98,108
48,49,57
141,148,191
142,145,193
107,86,172
144,148,194
112,113,147
128,137,180
116,119,148
150,152,196
123,88,167
69,76,93
133,138,181
41,42,50
128,133,170
103,70,156
142,145,193
73,73,90
156,157,205
156,162,209
128,130,168
117,117,155
128,128,166
69,69,86
132,136,167
145,148,196
107,108,129
154,155,203
119,126,156
98,104,143
146,145,198
117,124,154
142,146,192
165,167,213
134,133,173
145,149,188
147,147,198
136,134,140
121,122,149
137,142,184
117,109,163
142,145,193
167,167,211
75,51,123
78,78,108
146,155,193
67,70,86
116,117,151
157,157,208
64,67,89
148,147,200
146,150,183
123,131,164
134,135,175
171,168,208
105,107,132
166,168,214
42,44,49
138,143,185
132,135,170
161,161,199
139,142,190
133,135,181
121,122,149
115,124,162
119,125,158
140,146,185
127,131,164
55,52,61
156,147,174
150,146,202
146,147,189
102,105,140
149,150,190
118,125,162
152,151,206
141,150,188
140,142,188
134,139,174
149,119,189
127,129,167
51,54,76
113,118,153
122,120,143
120,120,158
122,126,159
154,157,205
142,148,195
114,75,159
76,73,99
123,127,153
109,113,139
129,136,166
139,147,188
152,154,198
132,141,179
145,147,198
142,147,189
122,128,161
148,157,195
152,154,198
100,105,134
165,160,205
95,99,124
69,70,104
143,145,196
91,95,134
175,179,218
101,109,143
135,136,176
145,145,196
96,68,146
142,146,185
92,91,118
146,153,196
122,127,169
101,107,146
94,79,141
179,178,218
122,123,157
138,145,188
168,167,207
141,144,192
123,119,155
128,132,163
125,130,167
149,151,197
170,172,216
92,101,144
147,150,198
140,146,192
149,151,203
122,122,152
123,129,162
136,100,182
146,151,194
114,113,140
128,134,167
131,136,165
142,144,175
108,112,145
147,147,198
123,129,162
137,143,182
114,117,152
88,95,125
142,145,193
166,164,208
142,147,190
114,111,137
164,158,207
124,128,159
128,132,163
94,64,141
167,165,208
144,151,194
135,141,180
121,121,152
122,122,160
124,128,161
128,134,167
82,86,104
118,87,168
160,161,201
144,149,192
125,129,160
155,144,177
71,76,105
127,131,170
42,47,56
59,64,93
127,136,174
84,89,118
151,152,200
152,159,202
130,129,169
175,176,218
145,144,184
115,118,140
168,170,214
109,115,148
84,70,129
146,148,194
152,159,209
134,103,169
133,136,178
170,171,211
99,103,129
130,138,171
179,178,218
171,172,214
97,90,105
116,121,156
132,140,181
156,155,189
151,149,198
119,127,168
103,95,149
133,138,173
42,42,65
104,105,140
177,178,218
141,144,186
166,169,217
133,135,179
43,43,44
124,128,161
117,119,150
123,128,163
112,85,159
143,146,194
59,61,86
47,49,67
136,141,184
149,152,200
150,151,199
150,159,204
104,104,129
148,152,183
119,123,154
157,163,210
