win_idx,t_start,t_end,t_center,n_frames,lag_sec,lag_frames
0,1.0,9.0,5.0,234,0.17085777368356986,5.0
1,2.0,10.0,6.0,234,0.1708577736835699,5.0
2,3.0,11.0,7.0,234,0.20502932842028387,5.999999999999999
3,4.0,12.0,8.0,234,0.20502932842028387,5.999999999999999
4,5.0,13.0,9.0,234,0.20502932842028385,6.0
5,6.0,14.0,10.0,234,0.47840176631399567,14.000000000000002
6,7.0,15.0,11.0,234,0.1708577736835699,5.0
7,8.0,16.0,12.0,234,0.17085777368356986,5.0
8,9.0,17.0,13.0,234,1.503548408415415,44.0
9,10.0,18.0,14.0,234,0.17085777368356986,5.0
10,11.0,19.0,15.0,235,0.17085777368356986,5.0
11,12.0,20.0,16.0,234,0.13668621894685593,4.0
12,13.0,21.0,17.0,234,0.1708577736835699,5.0
13,14.0,22.0,18.0,234,0.5125733210507099,15.000000000000002
14,15.0,23.0,19.0,235,1.640234627362271,47.99999999999999
15,16.0,24.0,20.0,234,0.5125733210507099,15.000000000000002
16,17.0,25.0,21.0,234,-0.034171554736713974,-1.0
17,18.0,26.0,22.0,234,-1.1276613063115613,-33.0
18,19.0,27.0,23.0,234,-0.06834310947342795,-2.0
19,20.0,28.0,24.0,234,0.17085777368356986,5.0
20,21.0,29.0,25.0,234,-0.10251466421014196,-3.0
21,22.0,30.0,26.0,234,0.17085777368356986,5.0
22,23.0,31.0,27.0,234,-0.10251466421014196,-3.0
23,24.0,32.0,28.0,234,-0.1366862189468559,-4.0
24,25.0,33.0,29.0,234,-0.1366862189468559,-4.0
25,26.0,34.0,30.0,234,-0.1366862189468559,-4.0
26,27.0,35.0,31.0,234,0.20502932842028393,6.0
27,28.0,36.0,32.0,234,-0.3417155473671399,-10.0
28,29.0,37.0,33.0,234,0.20502932842028385,6.0
29,30.0,38.0,34.0,235,-0.9226319778912772,-27.000000000000004
30,31.0,39.0,35.0,234,0.20502932842028393,6.0
31,32.0,40.0,36.0,234,0.20502932842028393,6.0
32,33.0,41.0,37.0,234,0.20502932842028376,6.0
33,34.0,42.0,38.0,235,-0.9226319778912778,-27.0
34,35.0,43.0,39.0,234,0.17085777368356994,5.0
35,36.0,44.0,40.0,234,0.1708577736835698,5.0
36,37.0,45.0,41.0,234,0.6834310947342798,20.0
37,38.0,46.0,42.0,234,0.6492595399975658,19.000000000000004
38,39.0,47.0,43.0,234,0.6492595399975658,19.000000000000004
39,40.0,48.0,44.0,234,0.6492595399975658,19.000000000000004
40,41.0,49.0,45.0,234,0.6492595399975658,19.000000000000004
41,42.0,50.0,46.0,234,0.3758871021038539,11.000000000000002
42,43.0,51.0,47.0,234,0.6492595399975652,19.0
