win_idx,t_start,t_end,t_center,n_frames,lag_sec,lag_frames
0,1.0,9.0,5.0,237,-0.23634779185322666,-7.0
1,2.0,10.0,6.0,237,-0.23634779185322666,-7.0
2,3.0,11.0,7.0,237,-0.23634779185322666,-7.0
3,4.0,12.0,8.0,237,-0.27011176211797333,-8.0
4,5.0,13.0,9.0,237,0.06752794052949333,2.0
5,6.0,14.0,10.0,237,0.03376397026474666,1.0
6,7.0,15.0,11.0,237,0.03376397026474666,1.0
7,8.0,16.0,12.0,237,0.033763970264746666,1.0
8,9.0,17.0,13.0,237,0.03376397026474666,1.0
9,10.0,18.0,14.0,237,0.033763970264746666,1.0
10,11.0,19.0,15.0,237,0.06752794052949332,2.0
11,12.0,20.0,16.0,237,0.10129191079423999,3.0
12,13.0,21.0,17.0,236,0.10129191079424002,3.0
13,14.0,22.0,18.0,237,0.10129191079423999,3.0
14,15.0,23.0,19.0,237,0.1350558810589867,4.0
15,16.0,24.0,20.0,237,-0.5739874945006932,-17.0
16,17.0,25.0,21.0,237,0.1350558810589867,4.0
17,18.0,26.0,22.0,237,0.13505588105898664,4.0
18,19.0,27.0,23.0,237,0.1350558810589867,4.0
19,20.0,28.0,24.0,237,-1.3505588105898663,-40.0
20,21.0,29.0,25.0,237,-0.16881985132373337,-5.0
21,22.0,30.0,26.0,237,-0.13505588105898664,-4.0
22,23.0,31.0,27.0,237,0.1350558810589867,4.0
23,24.0,32.0,28.0,237,0.16881985132373328,5.0
24,25.0,33.0,29.0,237,0.16881985132373337,5.0
25,26.0,34.0,30.0,236,-0.10129191079423998,-3.0
26,27.0,35.0,31.0,237,0.20258382158847996,6.0
27,28.0,36.0,32.0,237,0.20258382158848004,6.0
28,29.0,37.0,33.0,237,-0.5739874945006932,-17.0
29,30.0,38.0,34.0,237,0.16881985132373337,5.0
30,31.0,39.0,35.0,237,0.16881985132373337,5.0
31,32.0,40.0,36.0,237,0.9116271971481598,27.0
32,33.0,41.0,37.0,237,1.620670572707841,48.0
33,34.0,42.0,38.0,237,0.8440992566186665,25.0
34,35.0,43.0,39.0,237,0.06752794052949337,2.0
35,36.0,44.0,40.0,237,0.06752794052949332,2.0
36,37.0,45.0,41.0,237,0.03376397026474666,1.0
37,38.0,46.0,42.0,237,0.03376397026474669,1.0
38,39.0,47.0,43.0,237,0.03376397026474666,1.0
39,40.0,48.0,44.0,237,0.06752794052949337,2.0
40,41.0,49.0,45.0,237,0.06752794052949332,2.0
41,42.0,50.0,46.0,237,0.06752794052949337,2.0
42,43.0,51.0,47.0,237,0.10129191079423998,3.0
43,44.0,52.0,48.0,237,0.10129191079423998,3.0
44,45.0,53.0,49.0,237,0.10129191079423998,3.0
45,46.0,54.0,50.0,237,0.06752794052949332,2.0
46,47.0,55.0,51.0,236,0.10129191079424002,3.0
47,48.0,56.0,52.0,237,0.06752794052949332,2.0
48,49.0,57.0,53.0,237,0.06752794052949332,2.0
49,50.0,58.0,54.0,237,0.06752794052949332,2.0
50,51.0,59.0,55.0,237,0.06752794052949332,2.0
51,52.0,60.0,56.0,237,0.06752794052949332,2.0
52,53.0,61.0,57.0,237,0.06752794052949332,2.0
53,54.0,62.0,58.0,237,0.06752794052949332,2.0
54,55.0,63.0,59.0,237,0.03376397026474666,1.0
55,56.0,64.0,60.0,237,0.03376397026474666,1.0
56,57.0,65.0,61.0,237,0.06752794052949337,2.0
57,58.0,66.0,62.0,237,0.03376397026474666,1.0
58,59.0,67.0,63.0,237,0.06752794052949332,2.0
