B,G,R
166,163,203
194,178,227
152,150,194
124,120,142
175,170,215
165,158,190
179,170,207
134,132,162
181,174,206
174,167,212
155,153,196
181,169,206
126,121,160
146,144,161
120,114,149
146,143,177
167,162,201
155,155,193
175,169,212
138,130,141
154,155,189
163,154,191
172,167,206
124,121,155
179,166,206
160,159,206
166,160,201
162,161,195
179,169,215
89,84,99
182,171,215
187,174,223
154,157,186
114,112,142
135,130,169
166,158,212
195,180,226
184,174,222
170,170,201
164,159,204
87,82,97
99,100,134
138,132,173
71,74,90
97,96,110
184,168,217
184,171,220
148,141,178
145,142,174
179,171,206
168,159,203
142,136,177
163,159,189
111,108,112
169,166,206
170,161,213
184,174,215
190,176,218
184,169,215
157,155,199
117,116,163
153,155,180
182,170,216
149,148,188
168,165,205
159,158,185
184,171,211
89,86,90
178,168,214
157,150,182
163,160,199
181,173,221
189,179,219
181,169,215
153,153,178
93,89,89
180,170,211
72,71,84
159,154,193
129,123,134
191,174,225
167,164,204
175,167,208
172,166,207
65,61,104
180,170,211
181,172,216
142,140,157
136,127,149
163,162,196
184,174,214
181,171,212
161,154,199
164,160,173
71,75,101
163,155,179
181,171,211
178,169,219
187,172,217
109,114,143
181,174,213
124,121,155
154,151,191
178,167,211
151,150,171
170,167,207
179,167,213
183,173,219
169,159,207
179,168,212
152,147,192
115,116,151
171,173,211
162,162,200
89,89,120
173,167,202
168,164,194
112,111,145
125,121,151
121,117,147
173,161,207
118,116,152
143,138,177
161,153,194
182,172,213
180,172,213
186,171,216
188,178,219
165,167,198
145,138,169
71,70,89
125,121,143
183,173,214
164,160,203
162,159,198
80,79,92
181,171,212
156,157,192
177,170,207
94,94,95
146,143,182
196,181,227
182,170,216
174,166,207
181,174,213
177,168,205
183,172,216
156,151,183
155,154,201
166,162,190
164,161,200
195,182,222
165,160,205
161,165,196
56,55,76
159,156,188
171,166,205
117,112,151
150,144,185
76,75,79
187,176,226
158,150,185
161,164,199
175,166,203
115,115,145
148,145,184
135,131,161
178,171,210
166,166,204
180,170,211
177,167,208
126,117,139
159,163,194
127,122,137
166,163,202
163,154,198
171,161,192
132,136,161
83,82,96
112,112,142
138,128,152
177,170,215
186,175,219
184,174,214
175,165,205
147,146,186
179,173,216
153,147,188
76,78,103
166,163,202
184,171,211
161,161,199
152,153,187
176,163,212
174,166,214
158,152,187
170,164,205
37,37,47
57,56,75
145,149,182
93,91,97
141,140,180
158,159,194
65,65,66
172,162,208
165,155,201
184,170,212
182,171,221
150,150,188
114,111,120
71,63,74
177,163,205
140,140,170
156,148,172
151,145,180
160,152,176
167,159,194
156,159,194
183,173,219
168,169,196
169,166,206
173,174,208
168,172,211
152,150,173
178,169,197
160,160,198
184,172,218
180,167,207
158,157,204
179,171,206
170,160,200
148,145,184
117,108,130
109,104,106
113,115,120
171,163,204
165,160,205
187,177,217
177,167,213
133,130,164
100,93,115
167,171,210
135,134,168
177,165,211
143,142,182
125,120,129
179,170,214
161,158,197
181,171,212
159,154,193
152,155,190
187,177,218
192,178,220
104,101,110
156,144,175
153,150,184
164,158,201
180,172,213
149,148,182
183,168,213
163,161,197
170,161,205
159,156,196
66,66,83
185,176,220
168,162,203
145,146,173
149,145,188
150,148,191
142,141,188
139,134,173
147,148,175
131,128,162
168,163,208
177,169,210
161,161,191
176,167,211
167,164,198
148,146,176
177,164,204
160,158,194
156,154,205
51,48,58
155,155,193
168,165,204
182,175,214
157,153,196
147,146,165
164,158,199
153,153,170
181,169,215
174,161,201
164,161,195
44,43,47
149,148,169
147,141,176
183,171,207
95,93,116
135,133,156
110,106,128
152,150,180
169,157,194
106,103,129
163,162,209
83,77,95
147,147,172
68,67,80
68,65,75
124,115,142
181,169,215
150,143,180
184,174,215
164,157,194
157,153,181
145,142,161
160,162,200
177,171,212
189,175,217
179,167,213
188,178,218
185,175,221
163,156,188
143,136,175
175,165,211
178,171,210
167,155,192
142,136,177
159,155,178
154,149,194
151,148,188
177,167,208
152,148,176
165,158,190
127,121,156
157,150,189
192,178,220
177,166,216
177,166,216
172,164,205
153,147,195
127,124,163
158,160,198
183,173,219
128,126,132
183,175,216
182,173,217
142,145,174
175,165,205
185,175,215
142,137,176
46,43,47
161,150,183
158,155,195
177,171,212
70,69,83
154,151,190
159,154,186
182,173,217
179,170,207
188,176,222
181,170,214
146,142,178
177,170,202
171,163,204
144,135,162
147,143,165
171,165,208
153,146,191
74,71,81
188,175,225
160,162,193
147,146,173
86,84,107
117,114,148
179,169,209
