win_idx,t_start,t_end,t_center,n_frames,lag_sec,lag_frames
0,1.0,9.0,5.0,238,0.06722537451340173,2.0
1,2.0,10.0,6.0,238,0.06722537451340173,2.0
2,3.0,11.0,7.0,238,0.06722537451340174,1.9999999999999998
3,4.0,12.0,8.0,238,0.1008380617701026,3.0
4,5.0,13.0,9.0,238,0.1008380617701026,3.0
5,6.0,14.0,10.0,238,0.1008380617701026,3.0
6,7.0,15.0,11.0,238,0.1008380617701026,3.0
7,8.0,16.0,12.0,238,0.10083806177010261,3.0
8,9.0,17.0,13.0,238,0.1008380617701026,3.0
9,10.0,18.0,14.0,238,0.1008380617701026,3.0
10,11.0,19.0,15.0,238,0.06722537451340173,2.0
11,12.0,20.0,16.0,238,0.06722537451340174,1.9999999999999998
12,13.0,21.0,17.0,238,0.033612687256700864,1.0
13,14.0,22.0,18.0,238,-0.26890149805360697,-7.999999999999999
14,15.0,23.0,19.0,238,-0.26890149805360697,-7.999999999999999
15,16.0,24.0,20.0,238,-0.2689014980536069,-8.0
16,17.0,25.0,21.0,238,0.3025141853103079,9.0
17,18.0,26.0,22.0,238,-0.30251418531030777,-9.0
18,19.0,27.0,23.0,238,-0.033612687256700864,-1.0
19,20.0,28.0,24.0,238,-0.033612687256700864,-1.0
20,21.0,29.0,25.0,238,-0.033612687256700864,-1.0
21,22.0,30.0,26.0,238,-0.033612687256700864,-1.0
22,23.0,31.0,27.0,238,0.0,0.0
23,24.0,32.0,28.0,238,0.0,0.0
24,25.0,33.0,29.0,238,0.0,0.0
25,26.0,34.0,30.0,238,0.0,0.0
26,27.0,35.0,31.0,238,0.0,0.0
27,28.0,36.0,32.0,238,0.0,0.0
28,29.0,37.0,33.0,238,-0.03361268725670088,-1.0
29,30.0,38.0,34.0,238,-0.0672253745134017,-2.0
30,31.0,39.0,35.0,238,-0.6386410578773164,-19.0
31,32.0,40.0,36.0,238,-0.1008380617701026,-3.0
32,33.0,41.0,37.0,238,-0.1008380617701026,-3.0
33,34.0,42.0,38.0,238,-0.10083806177010268,-3.0
34,35.0,43.0,39.0,238,-0.06722537451340173,-2.0
35,36.0,44.0,40.0,238,-0.6050283706206155,-18.0
36,37.0,45.0,41.0,238,-0.30251418531030777,-9.0
37,38.0,46.0,42.0,238,-0.30251418531030777,-9.0
38,39.0,47.0,43.0,238,-0.033612687256700864,-1.0
39,40.0,48.0,44.0,238,0.0,0.0
40,41.0,49.0,45.0,238,0.0,0.0
41,42.0,50.0,46.0,238,0.0,0.0
42,43.0,51.0,47.0,238,0.0,0.0
43,44.0,52.0,48.0,238,0.0,0.0
44,45.0,53.0,49.0,238,0.033612687256700864,1.0
45,46.0,54.0,50.0,238,0.3697395598237095,10.999999999999998
46,47.0,55.0,51.0,238,-0.2016761235402052,-6.0
47,48.0,56.0,52.0,238,-0.2016761235402052,-6.0
48,49.0,57.0,53.0,238,0.033612687256700864,1.0
49,50.0,58.0,54.0,238,0.033612687256700864,1.0
50,51.0,59.0,55.0,238,0.06722537451340173,2.0
51,52.0,60.0,56.0,238,0.06722537451340173,2.0
52,53.0,61.0,57.0,238,0.06722537451340173,2.0
53,54.0,62.0,58.0,238,0.1008380617701026,3.0
54,55.0,63.0,59.0,238,0.1008380617701026,3.0
55,56.0,64.0,60.0,238,0.10083806177010268,3.0
56,57.0,65.0,61.0,238,0.06722537451340173,2.0
57,58.0,66.0,62.0,238,0.06722537451340173,2.0
58,59.0,67.0,63.0,238,-1.546183613808241,-46.0
