B,G,R
148,146,197
165,167,211
141,145,176
137,139,183
81,80,127
135,139,178
168,173,215
168,171,213
49,55,75
143,147,193
110,109,143
119,122,157
79,85,131
123,125,156
138,146,187
96,106,140
138,143,186
122,122,160
108,112,145
130,134,167
102,104,135
148,155,198
105,106,140
74,78,103
131,137,184
99,105,131
173,175,219
99,104,141
122,130,164
124,126,157
148,146,195
107,116,154
135,141,180
156,157,205
145,149,195
148,152,185
141,142,169
169,167,211
75,78,107
152,157,207
88,89,123
98,101,130
167,164,211
108,110,148
161,164,206
143,146,194
117,122,151
139,140,182
140,148,195
39,43,55
165,163,212
86,91,120
42,47,69
142,149,192
139,143,176
149,149,193
124,126,164
110,116,142
139,150,195
38,38,55
126,130,169
157,162,212
148,153,188
128,134,167
140,141,189
134,135,175
40,43,51
139,142,184
38,45,75
151,157,204
155,156,211
115,122,159
157,158,206
94,96,127
141,137,160
165,167,213
142,155,195
149,153,199
115,116,156
140,145,188
128,137,175
162,162,200
124,124,154
152,152,203
130,139,177
137,139,177
161,160,207
113,117,143
111,111,141
102,108,134
157,155,204
128,135,172
135,142,179
71,76,98
131,137,170
101,102,142
145,151,197
127,135,169
155,151,207
93,98,135
144,149,192
162,161,201
149,151,195
151,150,197
127,134,177
142,148,195
140,141,181
86,91,128
111,102,152
102,107,142
34,39,42
168,174,213
157,160,208
102,104,135
147,148,196
165,170,213
145,146,186
132,133,173
142,142,193
155,148,180
165,165,209
165,170,212
142,142,167
143,148,191
86,86,111
125,132,175
42,44,54
166,162,211
147,147,185
97,90,129
121,126,161
142,148,187
153,152,205
151,146,178
132,135,177
155,159,198
150,151,199
46,49,65
59,67,93
96,103,146
157,155,206
134,135,177
55,57,69
166,162,211
145,149,188
170,172,216
150,155,205
120,116,138
144,147,195
141,146,189
106,107,134
163,165,211
144,146,197
140,145,180
57,50,52
145,150,187
136,137,172
151,151,202
147,146,199
85,87,125
131,131,169
133,138,180
91,94,123
135,144,182
108,109,144
129,135,168
87,94,118
125,129,155
108,108,139
153,154,202
73,76,105
149,153,199
137,138,180
112,121,164
168,171,213
44,48,73
168,167,207
178,180,218
38,42,47
66,71,100
140,146,193
119,119,142
157,160,208
182,182,220
140,147,184
168,173,216
82,83,118
93,93,124
142,150,191
138,145,188
44,47,63
125,127,165
98,106,140
171,172,214
95,101,134
135,138,173
147,153,200
71,74,90
51,49,55
125,128,163
125,133,167
123,134,172
132,141,178
146,148,194
150,156,195
183,183,221
155,160,203
135,142,179
133,134,161
153,156,204
123,125,163
165,166,200
142,146,179
104,104,127
128,133,170
125,131,164
116,111,143
149,155,207
149,147,198
149,155,201
44,49,58
153,154,189
85,92,116
106,110,149
154,157,199
153,147,182
140,146,192
91,98,115
168,169,217
134,134,178
39,41,51
139,146,183
143,147,193
127,128,168
38,41,49
131,139,173
165,170,213
108,106,136
148,158,205
167,164,204
142,146,185
134,140,179
124,130,163
141,148,198
115,121,154
138,146,187
138,141,170
160,161,209
124,129,171
173,171,214
150,156,203
88,97,135
100,103,132
122,130,171
139,141,185
167,172,215
136,139,181
114,122,155
127,130,159
38,41,62
181,178,218
174,178,217
127,136,174
151,159,213
141,148,198
114,119,154
166,160,208
104,109,146
122,121,148
75,79,104
131,138,168
163,164,204
156,158,209
42,45,59
135,140,182
87,94,111
104,109,144
156,154,203
151,157,204
113,114,149
123,129,168
162,168,215
126,131,160
155,155,193
149,155,194
169,164,209
163,164,212
153,155,199
179,181,219
166,171,214
146,150,196
146,149,191
140,147,190
123,128,165
138,144,191
139,141,185
137,139,185
119,120,154
47,46,50
131,137,170
159,159,203
150,152,198
146,152,198
160,164,203
140,145,188
128,131,166
127,129,167
146,151,194
136,136,180
139,143,182
91,91,116
164,166,210
160,158,209
