B,G,R
126,123,162
78,77,90
164,154,195
76,72,72
149,143,184
150,152,190
124,120,142
75,65,76
49,42,44
121,119,136
67,59,70
134,136,154
117,106,133
117,109,133
171,164,209
170,160,201
124,113,140
159,153,194
179,169,215
50,50,51
170,162,210
173,162,212
153,147,182
122,119,138
74,69,78
179,176,210
125,121,149
151,144,183
121,117,139
151,154,189
182,173,223
128,124,160
84,83,102
143,131,184
166,167,207
123,126,70
73,72,76
75,71,94
179,174,213
181,170,214
108,103,129
57,54,63
60,59,63
159,150,200
139,123,195
163,152,185
125,116,144
46,42,48
158,153,198
73,68,83
143,131,167
93,85,103
103,100,126
104,95,132
81,75,93
143,140,174
123,109,132
128,116,153
60,57,66
181,169,215
168,173,210
52,46,44
148,143,188
62,58,64
92,89,99
151,153,191
78,74,80
158,155,195
138,129,151
157,153,196
145,145,176
79,73,91
90,87,106
182,169,209
65,54,53
105,101,114
129,128,142
146,149,178
164,158,163
58,52,50
67,57,60
161,158,197
164,160,209
140,145,167
148,143,188
119,116,125
77,77,102
164,156,180
84,80,110
100,94,105
166,160,203
65,57,105
142,145,159
79,70,90
88,79,106
86,75,102
57,50,52
177,168,212
61,58,60
114,110,140
70,66,89
155,152,192
177,167,208
147,142,174
147,144,183
108,100,111
154,148,183
46,42,48
70,62,86
163,158,197
162,165,200
122,122,139
143,144,171
108,101,132
149,147,191
122,111,144
58,49,56
78,75,84
150,152,190
146,146,177
85,72,97
138,130,165
134,134,151
84,65,63
174,167,212
62,58,58
153,146,198
51,47,47
115,94,158
179,168,218
110,103,135
166,162,192
77,71,84
149,149,172
156,162,188
72,66,71
175,161,203
151,145,194
164,156,210
140,141,168
39,37,43
160,161,201
149,143,178
175,166,210
187,172,217
129,122,144
70,66,94
175,167,208
53,48,50
158,149,199
101,98,117
136,137,164
152,152,183
109,103,121
141,140,161
57,52,67
178,168,214
163,154,191
155,160,195
151,147,170
141,134,171
90,84,102
171,155,204
84,79,111
96,94,100
140,132,173
185,179,222
161,156,201
135,129,147
59,53,96
66,59,66
53,49,49
81,75,67
157,159,203
165,163,199
73,70,79
120,116,129
145,132,189
153,153,191
165,156,200
74,63,69
171,168,207
151,129,196
119,112,134
72,71,92
