win_idx,t_start,t_end,t_center,n_frames,lag_sec,lag_frames
0,1.0,9.0,5.0,239,0.06707270244972983,2.0
1,2.0,10.0,6.0,239,0.06707270244972983,2.0
2,3.0,11.0,7.0,239,0.06707270244972985,2.0
3,4.0,12.0,8.0,238,0.06707270244972985,2.0
4,5.0,13.0,9.0,238,0.10060905367459477,3.0
5,6.0,14.0,10.0,239,-0.6036543220475685,-18.0
6,7.0,15.0,11.0,239,-0.5701179708227035,-16.999999999999996
7,8.0,16.0,12.0,239,0.10060905367459475,2.9999999999999996
8,9.0,17.0,13.0,238,0.10060905367459475,2.9999999999999996
9,10.0,18.0,14.0,238,0.10060905367459475,2.9999999999999996
10,11.0,19.0,15.0,238,0.13414540489945967,4.0
11,12.0,20.0,16.0,239,0.13414540489945964,4.0
12,13.0,21.0,17.0,239,0.1341454048994597,4.0
13,14.0,22.0,18.0,239,0.1341454048994597,4.0
14,15.0,23.0,19.0,238,0.13414540489945967,4.0
15,16.0,24.0,20.0,238,-0.5365816195978387,-16.0
16,17.0,25.0,21.0,239,0.16768175612432457,5.0
17,18.0,26.0,22.0,239,0.16768175612432457,5.0
18,19.0,27.0,23.0,239,0.16768175612432457,5.0
19,20.0,28.0,24.0,238,0.1676817561243246,5.0
20,21.0,29.0,25.0,238,0.1676817561243246,5.0
21,22.0,30.0,26.0,238,0.1676817561243246,5.0
22,23.0,31.0,27.0,239,0.16768175612432457,5.0
23,24.0,32.0,28.0,239,0.16768175612432457,5.0
24,25.0,33.0,29.0,239,0.16768175612432457,5.0
25,26.0,34.0,30.0,238,0.1676817561243246,5.0
26,27.0,35.0,31.0,238,0.2012181073491896,6.000000000000001
27,28.0,36.0,32.0,239,0.20121810734918955,6.0
28,29.0,37.0,33.0,239,0.16768175612432473,5.0
29,30.0,38.0,34.0,239,0.16768175612432462,5.0
30,31.0,39.0,35.0,238,0.2012181073491896,6.000000000000001
31,32.0,40.0,36.0,238,-0.5030452683729738,-15.0
32,33.0,41.0,37.0,238,0.2012181073491895,5.999999999999999
33,34.0,42.0,38.0,239,0.20121810734918955,6.0
34,35.0,43.0,39.0,239,0.20121810734918955,6.0
35,36.0,44.0,40.0,239,0.20121810734918955,6.0
36,37.0,45.0,41.0,238,-0.06707270244972983,-2.0
37,38.0,46.0,42.0,238,-0.10060905367459475,-2.9999999999999996
38,39.0,47.0,43.0,239,-0.10060905367459469,-3.0
39,40.0,48.0,44.0,239,-0.10060905367459477,-3.0
40,41.0,49.0,45.0,239,-0.13414540489945959,-4.0
41,42.0,50.0,46.0,238,-0.13414540489945967,-4.0
42,43.0,51.0,47.0,238,-0.13414540489945967,-4.0
43,44.0,52.0,48.0,238,0.1676817561243246,5.0
44,45.0,53.0,49.0,239,0.1341454048994597,4.0
45,46.0,54.0,50.0,239,0.13414540489945959,4.0
46,47.0,55.0,51.0,239,0.1341454048994597,4.0
47,48.0,56.0,52.0,238,0.1676817561243246,5.0
48,49.0,57.0,53.0,238,-0.5701179708227035,-16.999999999999996
49,50.0,58.0,54.0,239,-0.5701179708227038,-17.000000000000004
50,51.0,59.0,55.0,239,-0.5701179708227038,-17.000000000000004
51,52.0,60.0,56.0,239,-0.5701179708227038,-17.000000000000004
52,53.0,61.0,57.0,238,-0.5365816195978391,-15.999999999999998
53,54.0,62.0,58.0,238,-0.5701179708227035,-16.999999999999996
54,55.0,63.0,59.0,238,0.8719451318464878,25.999999999999996
55,56.0,64.0,60.0,239,0.1341454048994597,4.0
56,57.0,65.0,61.0,239,0.1341454048994597,4.0
57,58.0,66.0,62.0,239,0.1341454048994597,4.0
