B,G,R
148,156,189
114,122,148
123,130,154
107,121,150
121,121,165
125,131,164
124,128,174
167,165,209
119,128,145
109,119,140
158,167,204
145,149,180
33,30,69
86,86,86
124,134,155
115,126,158
100,95,140
162,172,206
108,124,140
83,86,100
125,132,162
107,118,150
46,45,64
76,86,127
144,150,183
116,127,151
128,133,149
138,146,172
119,120,162
143,148,185
82,89,113
119,132,164
68,62,110
107,118,143
54,55,63
85,98,130
157,167,201
104,119,152
132,132,176
149,158,195
117,121,160
148,149,197
127,132,148
148,156,190
145,156,188
151,160,197
73,75,87
152,163,195
135,122,179
120,130,151
132,141,178
131,141,175
156,168,204
108,116,144
117,125,153
116,126,154
165,174,211
104,105,147
157,166,203
132,134,172
163,172,209
117,132,159
146,152,185
112,123,142
127,129,173
133,138,181
123,134,166
110,121,146
102,109,139
48,50,60
64,75,100
159,168,205
101,115,144
43,37,50
71,77,90
154,162,195
50,52,64
114,125,150
131,143,171
150,153,195
104,115,140
44,44,54
48,51,59
117,122,159
142,153,185
115,123,157
120,126,139
139,143,176
122,134,162
131,143,171
40,41,49
110,125,150
144,151,188
130,137,159
148,161,193
155,167,203
134,140,166
40,33,85
125,140,167
63,60,69
87,96,133
118,123,165
104,110,149
129,140,165
128,139,164
99,102,124
52,54,64
84,88,134
134,141,178
120,126,152
136,142,175
108,118,139
137,144,168
126,141,168
122,126,172
91,96,118
56,56,66
118,124,150
128,141,166
119,125,158
50,47,57
120,133,158
162,174,210
140,147,190
114,126,154
113,121,154
122,131,168
118,128,149
145,153,187
105,117,145
145,152,195
143,148,191
99,97,146
122,135,160
121,133,161
89,92,140
47,50,64
112,122,156
100,101,115
128,139,164
159,168,205
138,139,187
132,137,180
133,144,169
68,67,71
144,147,189
142,151,189
69,68,72
141,145,184
104,115,147
140,146,179
138,143,180
90,95,138
92,112,143
127,138,162
68,70,88
107,114,151
79,91,120
114,125,163
111,109,153
141,144,166
117,125,159
125,137,165
66,74,115
39,39,56
130,142,170
91,86,138
87,87,104
155,168,206
118,108,162
103,115,130
140,147,184
139,142,184
100,93,145
99,110,142
129,137,163
119,135,164
110,111,153
113,123,144
157,169,205
138,142,181
134,138,177
136,148,177
92,100,92
113,117,142
121,130,154
126,132,158
103,108,145
138,141,162
111,120,144
128,139,163
125,137,166
100,116,147
135,143,169
140,144,175
112,117,152
97,83,176
116,124,158
145,151,184
121,132,157
118,129,153
122,130,158
132,134,178
118,126,159
100,105,127
122,127,156
113,124,149
148,150,181
123,132,162
137,140,182
139,146,183
122,134,162
124,134,162
96,110,146
128,138,172
84,90,89
124,129,172
135,141,174
91,76,165
140,146,185
131,134,169
130,140,168
157,169,205
152,161,198
97,105,133
125,139,155
131,138,175
142,147,184
111,121,129
122,132,153
118,124,129
122,125,173
111,100,171
123,128,165
108,120,154
113,122,160
100,104,122
65,76,108
122,130,171
34,32,32
45,44,58
126,136,170
131,139,167
149,153,179
160,170,204
133,136,165
123,134,166
125,133,174
51,54,68
136,144,172
162,171,208
154,166,202
120,128,154
124,127,162
141,144,179
126,140,163
81,85,97
125,131,178
101,107,140
66,71,80
112,116,162
45,47,52
99,101,119
129,135,168
124,138,167
54,54,55
134,137,153
135,141,174
162,172,206
155,167,203
108,120,154
47,57,70
126,131,160
110,123,155
57,50,59
161,170,207
122,134,162
126,129,150
141,146,183
168,168,206
147,156,193
125,136,155
74,76,128
149,160,192
132,136,169
52,53,61
116,125,163
118,122,147
141,150,188
119,131,159
143,147,172
135,139,178
125,135,169
139,142,107
141,142,190
94,96,100
125,131,164
119,136,163
117,126,143
126,136,164
110,119,157
142,155,187
125,127,171
48,44,106
114,126,154
43,41,47
123,135,163
118,119,161
118,126,154
139,147,188
135,139,185
127,134,164
139,143,182
92,96,148
109,123,146
131,136,165
126,115,186
122,132,153
145,150,187
106,113,156
120,135,162
109,117,150
102,108,134
120,128,156
142,147,184
121,134,166
144,149,191
125,132,169
126,134,154
115,121,154
119,120,162
129,135,174
115,130,155
116,127,172
124,139,159
55,55,80
112,121,159
112,118,138
104,117,155
45,45,62
116,132,163
52,55,77
136,145,183
108,118,139
132,140,168
104,112,146
109,116,133
102,114,150
105,117,146
120,125,162
141,147,173
105,115,156
109,124,144
134,143,173
89,97,117
125,128,163
148,153,190
92,94,138
126,138,172
138,142,167
120,125,154
132,141,179
115,123,151
147,139,201
131,140,178
137,141,180
154,161,198
144,149,186
129,143,166
144,158,194
109,124,149
126,134,162
108,121,146
125,131,178
94,103,141
160,169,206
105,119,148
125,128,176
108,103,155
63,63,80
127,133,166
128,135,165
110,123,148
104,113,81
131,143,171
125,133,161
132,140,160
98,109,128
134,141,178
144,144,195
149,152,181
91,92,132
120,124,163
108,119,143
160,166,199
156,166,200
99,107,148
132,138,171
134,144,178
141,148,185
127,133,166
94,94,104
156,164,197
123,133,161
36,38,43
136,144,172
120,129,167
91,100,143
158,170,206
160,167,204
124,134,155
142,143,183
149,153,179
85,91,111
136,139,181
127,136,173
77,76,90
133,145,174
160,169,206
136,134,185
154,163,200
126,136,106
139,152,184
57,58,79
116,131,151
139,143,182
55,56,64
137,149,177
112,115,157
134,137,172
125,126,168
113,125,153
146,159,197
124,135,167
90,86,142
125,133,153
116,124,157
119,124,161
114,119,156
27,35,61
117,127,155
62,64,76
140,148,182
152,165,203
153,163,197
165,166,206
153,162,199
107,111,150
101,104,125
124,136,164
120,132,161
151,163,199
140,142,186
133,140,177
127,129,167
125,135,116
109,117,145
129,141,170
100,115,140
66,80,96
131,141,169
73,74,122
120,125,162
83,88,97
132,140,168
126,134,162
161,170,207
87,96,120
59,59,69
150,162,198
133,139,178
106,115,145
127,140,165
154,163,200
152,164,200
149,160,198
165,163,207
112,118,144
81,83,93
167,175,209
110,126,155
78,87,117
145,151,190
99,100,127
127,133,172
88,88,105
138,144,177
128,121,173
124,135,159
168,169,209
112,125,144
121,128,158
131,139,173
113,116,138
122,130,156
136,148,177
110,117,141
161,170,207
55,57,67
67,73,125
143,148,190
106,122,151
123,133,161
107,111,150
117,121,160
146,151,188
141,153,187
59,62,84
108,121,146
114,121,164
138,141,99
124,132,165
52,62,90
123,128,150
130,138,172
117,127,108
107,120,145
123,133,146
135,143,177
119,125,145
101,115,144
124,130,143
134,146,174
128,140,168
120,131,156
110,110,120
115,120,149
73,76,60
129,134,177
158,167,204
122,129,159
141,144,179
141,143,181
103,106,141
126,139,164
128,131,179
71,59,133
134,137,153
127,135,161
123,133,161
77,86,116
150,160,194
130,131,179
46,49,71
103,114,138
114,122,148
134,128,177
142,156,185
127,134,158
141,145,178
131,136,165
89,101,135
157,167,201
52,54,64
128,133,175
136,146,180
136,142,181
85,92,101
116,127,159
122,122,166
88,94,114
82,76,145
116,122,161
132,143,168
151,164,189
142,151,189
71,69,99
113,124,141
159,168,205
122,135,167
116,129,154
99,104,141
135,142,179
95,102,126
118,132,161
49,49,59
124,133,150
166,167,209
126,135,159
107,119,148
112,114,158
96,105,135
122,132,160
121,131,159
110,123,148
113,125,153
70,73,87
102,112,127
117,120,162
133,132,179
124,138,167
48,51,65
125,135,156
147,155,189
155,165,199
120,135,162
147,156,194
131,138,168
94,104,132
146,154,182
115,124,141
44,39,54
155,158,200
146,151,188
121,108,171
132,141,178
121,129,155
140,142,186
140,147,177
49,54,76
110,116,149
104,116,152
153,162,199
133,138,180
118,130,166
106,118,146
133,137,176
127,126,173
104,101,148
142,146,171
130,132,178
125,131,157
135,141,161
117,128,145
157,168,206
126,139,164
140,148,181
43,45,63
124,135,160
123,133,161
147,151,177
64,72,106
125,132,149
55,59,71
128,140,168
120,124,163
79,71,153
154,161,198
105,120,153
120,129,167
151,163,199
150,161,193
164,175,207
120,135,162
120,125,154
109,116,153
140,149,186
125,129,168
46,46,63
108,114,153
118,130,158
157,159,203
133,138,160
115,124,154
113,123,151
142,153,185
105,120,147
126,139,164
109,120,144
133,137,176
116,121,163
111,118,134
105,113,141
133,142,172
148,152,178
112,124,152
138,143,165
35,35,36
145,149,182
114,120,159
120,129,153
135,144,182
114,116,162
112,123,147
130,135,164
139,143,176
96,97,137
124,132,160
122,130,150
133,127,176
84,81,128
135,147,175
80,86,98
117,119,163
127,115,174
115,130,155
122,129,151
107,120,152
122,127,149
117,125,158
139,142,163
122,128,127
138,145,182
110,120,148
68,68,119
141,146,183
141,150,180
122,130,158
119,124,153
120,125,162
153,162,200
99,102,137
164,166,204
119,128,158
102,111,135
101,106,156
151,160,197
142,149,186
103,115,136
120,126,159
143,151,185
121,128,171
133,146,178
64,56,125
123,138,165
117,111,159
121,118,165
122,128,161
129,140,165
135,146,171
123,127,173
51,50,47
143,143,194
108,94,181
97,102,137
55,55,56
137,145,179
112,125,150
100,103,125
107,119,148
92,91,110
142,154,183
123,128,157
116,127,159
36,36,61
50,52,64
110,115,158
84,96,125
130,133,154
62,67,83
126,133,176
86,96,137
105,113,146
129,133,172
124,130,176
142,145,187
111,117,156
96,109,141
145,151,184
154,163,200
119,134,161
128,139,164
50,48,54
135,136,170
97,113,144
142,150,183
134,140,179
140,147,177
155,166,190
115,121,160
92,107,127
69,71,81
147,158,190
166,175,212
113,128,153
75,80,96
53,55,67
107,120,152
122,125,160
121,128,158
110,112,116
125,136,168
111,121,149
129,136,173
153,159,192
120,129,166
154,162,195
101,112,144
165,168,210
131,137,176
130,134,180
161,173,209
112,116,147
122,127,169
163,172,210
163,172,210
154,163,200
118,125,162
127,129,173
144,144,195
51,48,57
69,71,76
125,135,156
74,87,112
135,140,175
141,149,177
119,129,150
144,149,191
111,120,150
125,130,152
127,135,168
102,117,150
124,127,148
111,122,141
150,162,198
145,153,187
127,122,180
107,119,147
126,129,171
118,125,142
125,133,161
132,144,172
119,135,166
123,130,152
159,167,201
123,135,163
38,43,52
82,75,140
129,136,173
121,125,164
150,151,193
121,131,152
101,111,145
119,126,143
145,150,192
134,146,174
123,124,166
121,129,162
110,118,131
48,52,70
47,47,48
106,112,158
102,117,137
105,113,146
95,97,135
114,126,155
128,137,167
131,142,174
126,133,170
123,131,151
142,147,182
93,106,125
108,117,134
112,121,138
41,40,44
133,139,172
146,160,196
124,125,167
123,131,159
157,167,201
119,126,150
122,133,158
96,82,175
141,146,188
134,128,184
46,45,49
121,135,164
155,164,201
105,107,151
67,75,103
66,59,124
121,134,153
57,54,63
125,119,181
120,130,158
126,132,101
164,174,208
137,138,186
135,140,169
130,135,177
121,128,178
133,145,174
139,148,186
122,124,170
140,145,187
113,124,148
112,124,152
124,134,162
137,144,181
119,130,149
131,137,176
136,124,190
59,56,65
164,173,210
99,103,59
127,129,173
120,130,151
95,111,147
124,132,158
122,129,151
116,127,151
80,89,140
136,141,176
106,117,142
117,127,155
95,99,124
116,126,160
124,127,175
122,131,161
90,97,134
104,113,158
66,66,76
92,101,144
107,115,143
131,138,175
113,125,140
79,80,135
142,149,173
122,134,168
108,119,143
110,123,155
155,166,204
145,151,177
141,146,183
124,132,160
109,118,156
98,99,147
112,122,156
127,131,177
151,162,194
63,65,77
90,90,91
128,131,166
154,166,202
141,146,175
59,57,63
132,135,170
99,114,141
148,159,191
119,125,151
133,141,105
92,99,123
132,132,183
144,151,188
87,93,113
107,118,150
160,172,208
81,96,115
95,95,105
113,122,152
41,38,48
105,87,179
117,128,153
71,64,122
83,90,114
58,57,104
58,64,84
102,116,152
133,136,184
128,133,168
111,118,142
60,59,63
140,148,176
92,98,137
117,129,158
147,152,181
156,160,193
127,139,160
139,145,184
133,146,178
135,125,192
133,142,180
138,143,172
104,101,120
121,128,152
150,159,196
118,126,154
140,147,184
93,88,141
108,108,146
121,129,157
115,123,157
155,167,203
112,119,143
153,161,195
131,135,168
143,148,185
121,132,151
148,159,191
122,126,159
124,135,160
117,129,157
121,131,152
55,54,58
134,143,180
108,119,143
74,65,143
107,114,144
53,48,63
149,162,200
106,121,148
91,94,136
127,112,188
102,105,147
102,115,140
60,62,72
103,111,144
127,129,180
129,138,168
141,146,181
