win_idx,t_start,t_end,t_center,n_frames,lag_sec,lag_frames
0,1.0,9.0,5.0,235,-1.7703937529341298,-52.0
1,2.0,10.0,6.0,235,-1.77039375293413,-52.0
2,3.0,11.0,7.0,235,-0.13618413484108688,-4.0
3,4.0,12.0,8.0,235,-0.1361841348410869,-4.0
4,5.0,13.0,9.0,235,-0.9532889438876085,-28.0
5,6.0,14.0,10.0,235,-0.9532889438876082,-28.0
6,7.0,15.0,11.0,235,-1.8044397866444015,-53.0
7,8.0,16.0,12.0,235,0.13618413484108693,4.0
8,9.0,17.0,13.0,235,0.17023016855135867,5.0
9,10.0,18.0,14.0,235,1.1235191124389672,33.0
10,11.0,19.0,15.0,235,1.9746699551957598,58.0
11,12.0,20.0,16.0,235,1.9746699551957605,58.0
12,13.0,21.0,17.0,235,1.1235191124389672,33.0
13,14.0,22.0,18.0,235,1.1235191124389667,33.0
14,15.0,23.0,19.0,235,0.23832223597190214,7.0
15,16.0,24.0,20.0,235,-0.6128286067848912,-18.0
16,17.0,25.0,21.0,235,-0.6128286067848912,-18.0
17,18.0,26.0,22.0,235,0.17023016855135867,5.0
18,19.0,27.0,23.0,235,0.13618413484108693,4.0
19,20.0,28.0,24.0,235,0.13618413484108693,4.0
20,21.0,29.0,25.0,235,0.13618413484108685,4.0
21,22.0,30.0,26.0,235,0.13618413484108693,4.0
22,23.0,31.0,27.0,235,0.1021381011308152,3.0
23,24.0,32.0,28.0,235,0.13618413484108685,4.0
24,25.0,33.0,29.0,235,0.13618413484108693,4.0
25,26.0,34.0,30.0,235,0.17023016855135875,5.000000000000001
26,27.0,35.0,31.0,235,0.17023016855135867,5.0
27,28.0,36.0,32.0,235,0.17023016855135856,5.0
28,29.0,37.0,33.0,235,0.17023016855135867,5.0
29,30.0,38.0,34.0,235,-0.5106905056540757,-15.0
30,31.0,39.0,35.0,235,-0.510690505654076,-15.0
31,32.0,40.0,36.0,235,-0.10213810113081524,-3.0
32,33.0,41.0,37.0,235,-0.10213810113081524,-3.0
33,34.0,42.0,38.0,235,-0.17023016855135856,-5.0
34,35.0,43.0,39.0,234,-0.17023016855135864,-5.0
35,36.0,44.0,40.0,235,-0.953288943887608,-28.0
36,37.0,45.0,41.0,235,-0.17023016855135856,-5.0
37,38.0,46.0,42.0,235,0.10213810113081515,3.0
38,39.0,47.0,43.0,235,0.10213810113081524,3.0
39,40.0,48.0,44.0,235,0.10213810113081515,3.0
40,41.0,49.0,45.0,235,0.06809206742054343,2.0
41,42.0,50.0,46.0,235,0.10213810113081515,3.0
42,43.0,51.0,47.0,235,0.03404603371027171,1.0
43,44.0,52.0,48.0,235,1.6001635843827704,47.0
44,45.0,53.0,49.0,235,1.6342096180930439,48.0
45,46.0,54.0,50.0,235,-1.872531854064946,-55.0
46,47.0,55.0,51.0,235,-1.8384858203546726,-54.0
47,48.0,56.0,52.0,235,-1.8384858203546726,-54.0
48,49.0,57.0,53.0,235,-1.8384858203546726,-54.0
49,50.0,58.0,54.0,235,-0.03404603371027171,-1.0
50,51.0,59.0,55.0,235,-0.3745063708129892,-11.0
51,52.0,60.0,56.0,235,-0.8511508427567936,-25.0
52,53.0,61.0,57.0,235,-0.8511508427567929,-25.0
53,54.0,62.0,58.0,235,-0.8511508427567936,-25.0
54,55.0,63.0,59.0,235,-0.3745063708129888,-11.0
55,56.0,64.0,60.0,235,-0.3745063708129888,-11.0
56,57.0,65.0,61.0,235,-0.3404603371027171,-10.0
57,58.0,66.0,62.0,235,-0.3404603371027175,-10.000000000000002
